week_ending_date,Manager_usd,InShop_usd,Driver_usd,Tip Credit_usd,TAX_usd,DMR_usd,PenaltyPay_usd,Manager_prcnt_as_dec,InShop_prcnt_as_dec,Driver_prcnt_as_dec,Tip Credit_prcnt_as_dec,TAX_prcnt_as_dec,DMR_prcnt_as_dec,PenaltyPay_prcnt_as_dec
06/06/2017,1407.4449,1059.8215,1312.9187,0.0,432.83119395,541.2199999999999,0,0.07623126573770109,0.057402982099710606,0.0711114547444785,0.0,0.023443382945626427,0.029314032572471276,0
06/13/2017,1492.6668,975.449,1242.7821000000001,0.0,424.8978095499999,452.71000000000004,0,0.08510378651000577,0.055614825389965546,0.07085671264133206,0.0,0.024225374659979232,0.02581107531228317,0
06/20/2017,1490.8333,774.2212000000001,1238.3938,0.0,401.14483035,434.81,0,0.09117108935643503,0.04734707106880854,0.07573329076983666,0.0,0.024531791161836687,0.02659056607004386,0
06/27/2017,1412.1429,955.2642000000001,1156.6143000000002,0.0,403.5004503,458.68,0,0.08618615424051561,0.05830185293686833,0.07059068771056103,0.0,0.024626510564669697,0.02799423856257019,0
07/04/2017,1489.2119,839.4274,1020.0353999999999,0.0,383.42325314999994,366.64,0,0.10533294337161749,0.05937325560505131,0.0721477789864862,0.0,0.027119780476781243,0.025932689872925293,0
07/11/2017,1493.9768,813.6034999999999,1320.9674,0.0,415.46871164999993,458.44999999999993,0,0.08986872585943566,0.04894152968090091,0.07946151315057336,0.0,0.024992117515109182,0.027577615241587604,0
07/18/2017,1489.6394,962.1490000000001,1320.7169,0.0,431.95185684999996,424.40000000000003,0,0.0847758813988561,0.05475622456819282,0.07516244486811029,0.0,0.024582526070625728,0.024152747346555505,0
07/25/2017,1511.7750999999998,780.6032999999999,1178.5604,0.0,397.42249259999994,431.55999999999995,0,0.08897311399845921,0.04594116307278341,0.06936229391744163,0.0,0.023389667378204346,0.025398775966858467,0
08/01/2017,1485.5224,918.5911,1209.506,0.0,413.75943275,410.26,0,0.09086047332363273,0.056184694446126456,0.07397820971785665,0.0,0.02530717672233201,0.025093137461780154,0
08/08/2017,1511.3980000000001,512.8723,1269.8671000000002,0.0,377.1787323,373.28000000000003,0,0.09870876434933049,0.033495473066656914,0.08293448339144797,0.0,0.02463338353245135,0.024378758974352276,0
08/15/2017,1525.3897,491.5337,1259.3895,0.0,375.13782705,441.5300000000001,0,0.09187876907879677,0.029606540097095565,0.07585678404066931,0.0,0.02259566967329631,0.02659466817650673,0
08/22/2017,1650.0,668.3531,1211.8761000000002,0.0,404.21124339999994,459.6299999999999,0,0.10285494149423918,0.041662678180602056,0.07554390628107077,0.0,0.02519704472195192,0.02865164652060433,0
08/29/2017,1690.597,851.7733,1275.8353999999997,0.0,437.1845526499999,403.1,0,0.11325181189152833,0.057059647891145156,0.0854672466148661,0.0,0.02928666188251828,0.027003363529850742,0
09/05/2017,1633.3333,618.3362000000001,1356.4486,0.0,413.12952244999997,435.5900000000001,0,0.11125020944555164,0.04211634683366005,0.09239093506029987,0.0,0.028139232758374072,0.02966906921715724,0
09/12/2017,1455.1766,694.2713,1395.1331,0.0,405.85452449999997,388.66,0,0.10187223341941834,0.04860370069859769,0.09766878110488907,0.0,0.02841256989302263,0.027208836536260366,0
09/19/2017,1662.3383,638.3012,1324.3904,0.0,415.06592355,389.5100000000001,0,0.11785078108107148,0.045252097593483365,0.09389210553367669,0.0,0.029425925691842512,0.027614149140934893,0
09/26/2017,1650.0,635.2697,1413.4666,0.0,423.50530634999996,433.92999999999984,0,0.10644811041701209,0.04098379343647402,0.09118839315609616,0.0,0.027322024007597166,0.0279945627595479,0
