week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Beverage 4316,Catering 4320,Operating Supplies 5220,Fuel Surcharge,Discounts,Delivery Charges,Tax,Invoice Totals,Aprons-Floor Mats 5285
05/20/2014,Transfer OUT - 93151,05/14/2014,05/14/2014,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,-18.078,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-18.078,0.0
05/27/2014,603709733 (1322439),05/22/2014,0,Sysco Food Services,0,539.2,1911.7788,548.8,315.75,237.74,0.0,31.98,7.0,0,0,2.64,3594.8888,0.0
05/27/2014,0725141 (1323691),05/23/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
05/27/2014,0725396 (1329885),05/26/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
06/03/2014,052714 (1330621),05/28/2014,0,Local SuperMarket,0,0.0,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,18.78,0.0
06/03/2014,603846485 (1333516),05/29/2014,0,Sysco Food Services,0,534.11,1719.9026,407.04,135.54,310.91,0.0,27.91,7.0,0,0,3.96,3146.3726,0.0
06/03/2014,0725829 (1333518),05/30/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
06/03/2014,0726070 (1337940),06/02/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
06/03/2014,Transfer OUT - 94518,05/28/2014,05/28/2014,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,-19.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-19.65,0.0
06/03/2014,Transfer IN - 95048,06/03/2014,06/03/2014,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,0.0,0.0,0.0,8.97,0.0,0.0,0,0,0.0,8.97,0.0
06/10/2014,060914 (1350939),06/10/2014,0,Local SuperMarket,0,0.0,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,18.78,0.0
06/10/2014,0726597 (1350943),06/07/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
06/10/2014,0726388 (1350953),06/05/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
06/10/2014,0726752 (1350964),06/09/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
06/10/2014,603946027 (1350994),06/05/2014,0,Sysco Food Services,0,608.23,2319.4039,674.01,277.97,65.71,68.99,59.89,6.5,0,0,11.46,4092.1639,0.0
06/17/2014,0727432 (1361484),06/16/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
06/17/2014,0727212 (1361524),06/13/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
06/17/2014,0726976 (1361531),06/11/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
06/17/2014,604015913 (1361580),06/12/2014,0,Sysco Food Services,0,534.11,1944.8953,557.25,89.39,404.29,0.0,43.9,6.5,0,0,3.62,3583.9553,0.0
06/24/2014,0727655 (1361536),06/18/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
