week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Office Supplies 5230,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies,Operating Supplies 5220
05/21/2019,0.03725351904556931,0.1249978028049571,0.030895074299884993,0.001317995798346328,0.01660463980777756,0.010362807013035406,6.0551354615716345e-05,0,0.22149239012418645,0.22162088106236302,-17.11,1550.5852,1755.9668,1100.8848,504.6515,338.07,0.0,5250.158299999999,0.0,0.0,0.0,0.0,0.0,5250.158299999999,33.73,90.42,251.64,0.0,375.78999999999996,0
05/28/2019,0.03593059430294374,0.11955029754820276,0.03201418075061492,0.015432643021502813,0.020203551535348724,0.020715905736729347,0.004860690311830515,0,0.24870786320717275,0.24883481710703786,-63.35,1560.4498,2013.9755,1163.0865,542.4451,265.92,0.0,5545.8769,0.0,0.0,0.0,0.0,0.0,5545.8769,73.92,290.27,1206.15,0.0,1570.3400000000001,0
06/04/2019,0.033693003803389535,0.13042963000743188,0.02860731217424672,0.01812312684279809,0.01761414418878024,0.010255435495387844,7.374835453613645e-05,0,0.23879640086657047,0.23891783731402005,-90.77,1840.1146,2505.5326,862.9061,596.3794,267.9,0.0,6072.8327,0.0,0.0,0.0,0.0,0.0,6072.8327,83.9,270.63,308.16,4.47,667.1600000000001,0
06/11/2019,0.03461008459611988,0.11402569859178462,0.03218535789908885,0.011262791081324556,0.009726476392719889,0.011712574142955965,0.0006525191123687124,0,0.21417550181636252,0.21434522358806773,-21.52,1760.7898,1965.9475,876.9937,527.1272,297.82,0.0,5428.678199999999,0.0,0.0,0.0,0.0,0.0,5428.678199999999,106.01,277.37,134.52,12.09,529.99,0
06/18/2019,0.03804114539404577,0.1257504233676945,0.02886515436129285,0.009036718292934481,0.03067310141518956,0.021056631806273415,0.0007078957432736466,0,0.25413107038070426,0.2543145847693334,-14.14,1787.5275,2357.9278,874.4811,574.7827,270.85,0.0,5865.5691,0.0,0.0,0.0,0.0,0.0,5865.5691,59.86,77.62,142.71,0.0,280.19000000000005,0
06/25/2019,0.030963177673627013,0.13380073188038255,0.031186237743079114,0.012184906815619847,0.02307911235181109,0.018630390029199976,-2.4659776803726502e-05,0,0.2498198967169159,0.24998204674850272,-26.3,1557.3944,2285.1472,967.9864,550.8055,296.14,0.0,5657.4735,0.0,0.0,0.0,0.0,0.0,5657.4735,113.12,242.22,209.29,0.0,564.63,0
07/02/2019,0.03605019183219333,0.13866686334775283,0.031160709114805656,0.012695625571902487,0.020865455828857477,0.01899895005004466,0.001683878532849943,0,0.2601216742784064,0.26029201009205627,-32.47,1544.7362,2682.3524,1033.4139,602.3275,344.53,0.0,6207.360000000001,0.0,0.0,0.0,0.0,0.0,6207.360000000001,82.8,260.43,128.9,0.0,472.13,0
07/09/2019,0.03423433485323181,0.12780136517915297,0.030857784862932502,0.0077971603152320115,0.0158596844286512,0.020679631417857988,0.0007055171503120831,0,0.23793547820737057,0.23804613252108145,87.34,1513.1268,1852.6003,679.4816,463.1764,295.85,0.0,4804.235100000001,0.0,0.0,0.0,0.0,0.0,4804.235100000001,28.94,150.95,135.17,0.0,315.05999999999995,0
07/16/2019,0.03666372755364122,0.147152839914942,0.03295463453687234,0.017322644332305726,0.025133053429307325,0.004370733969215381,0.0013600002898057208,0,0.26495763402608974,0.2650663111716483,-17.01,1800.2026,1999.9518,740.2076,519.8714,306.56,0.0,5366.7934000000005,0.0,0.0,0.0,0.0,0.0,5366.7934000000005,88.89,116.34,97.95,6.59,309.77,0
07/23/2019,0.03532821573854322,0.12174003195264683,0.025489306603696197,0.011507614485796585,0.020365307361490052,0.014859927472563532,0.0006926429851111419,0,0.22998304659984758,0.23009492561537193,-17.33,1624.3762,2112.674,951.0243,536.7845,325.73,0.0,5550.589,0.0,0.0,0.0,0.0,0.0,5550.589,65.82,141.68,99.07,0.0,306.57,0
07/30/2019,0.038616351874193953,0.13637616709953107,0.03644508614695203,0.013571413713382352,0.020007436452136287,0.014386496413267646,0.0006360209557883968,0,0.2600389726552518,0.26015040800194944,-1.57,1545.6623,1907.3227,904.3356,498.9132,312.19,0.0,5168.4238,0.0,0.0,0.0,0.0,0.0,5168.4238,75.5,123.91,93.61,0.0,293.02,0
08/06/2019,0.03755889520141411,0.13150895393425316,0.027741538800381764,0.012036109401207407,0.018887612735990236,0.011262523083699925,0.0053783256058235855,0,0.2443739587627702,0.24447984729461866,-3.89,1568.8723,1841.6519,783.7333,480.2425,337.21,0.0,5011.71,150.0,0.0,17.175,0.0,167.175,5178.885,76.07,135.85,335.41,0.0,547.33,0
08/13/2019,0.035866989876325556,0.14701492507412448,0.03597257392419264,0.013910396132168707,0.017102645778240777,0.017189565136095313,0.0019452413387824905,0,0.26900233725992984,0.2691025055426448,-51.64,1479.28,1871.7691,839.08,479.7698,288.95,0.0,4958.8489,0.0,0.0,0.0,0.0,0.0,4958.8489,72.26,151.68,575.02,0.0,798.96,0
08/13/2019,0.035866989876325556,0.14701492507412448,0.03597257392419264,0.013910396132168707,0.017102645778240777,0.017189565136095313,0.0019452413387824905,0,0.26900233725992984,0.2691025055426448,-51.64,1479.28,1871.7691,839.08,479.7698,288.95,0.0,4958.8489,0.0,0.0,0.0,0.0,0.0,4958.8489,72.26,151.68,575.02,0.0,798.96,0
08/27/2019,0.04207713079111429,0.14015938264525074,0.03356531523933902,0.015185879487957946,0.01684475532788136,0.006872705922795316,0.0022833065875054424,0,0.2569884760018442,0.25710895270405953,-25.95,1527.4457,2014.88,611.282,475.5881,341.12,0.0,4970.3158,0.0,0.0,0.0,0.0,0.0,4970.3158,40.56,68.76,100.74,0.0,210.06,0
09/03/2019,0.037732376541196426,0.14817619762106682,0.03109534433644291,0.0124495270402505,0.01949534433644291,0.024168247548220143,0.0011958510013699503,0,0.27431288842498963,0.27444336008002257,-15.17,1621.6997,1467.3554,737.9238,438.1891,311.53,0.0,4576.697999999999,0.0,0.0,0.0,0.0,0.0,4576.697999999999,37.48,20.93,84.09,3.18,145.68,0
09/10/2019,0.03992891035881128,0.1398571513697551,0.035738066221359874,0.009481941076164443,0.022511238105810835,0.012820019704948182,0.0018726965658373016,0,0.262210023402687,0.26233246508575403,-163.78,1641.4929,1569.6147,702.2804,448.0829,284.89,0.0,4646.360900000001,0.0,0.0,0.0,0.0,0.0,4646.360900000001,33.08,87.43,167.09,0.0,287.6,0
