week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Office Supplies 5230,Smallwares-KEC 5220,Uniforms-KC 5221,Aprons-Floor Mats 5285,Trash Service 5286,Pest Control 5241,Fuel Surcharge,Discounts,Delivery Charges,Tax,Invoice Totals,Misc Monthly Audit Item
10/01/2019,296926614 (4987907),09/26/2019,0,Sysco Food Services,0.0,514.66,2104.2,484.39,158.03,0.0,158.48,0.0,41.3,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.41,3465.97,0
10/08/2019,296946340 (5001735),10/03/2019,0,Sysco Food Services,0.0,504.68,1600.39,415.62,102.47,0.0,167.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2791.96,0
10/15/2019,296963176 (5015169),10/10/2019,0,Sysco Food Services,0.0,569.14,1739.04,442.25,154.46,0.0,218.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,4.06,3128.48,0
10/22/2019,296979590 (5027994),10/17/2019,0,Sysco Food Services,0.0,499.71,1818.39,374.86,248.2,0.0,103.13,24.55,15.56,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,7.48,3093.38,0
10/08/2019,296946340 (5001735),10/03/2019,0,Sysco Food Services,0.0,504.68,1600.39,415.62,102.47,0.0,167.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2791.96,0
11/05/2019,396013306 (5055089),10/31/2019,0,Sysco Food Services,0.0,452.49,2113.79,409.99,173.25,0.0,319.08,24.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3493.15,0
11/12/2019,396033485 (5068052),11/07/2019,0,Sysco Food Services,0.0,410.28,1542.11,404.53,66.56,0.0,158.38,0.0,15.56,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.28,2600.2,0
11/19/2019,396050571 (5082257),11/14/2019,0,Sysco Food Services,0.0,410.28,1561.73,398.7,243.64,0.0,246.05,0.0,15.56,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.28,2878.74,0
11/26/2019,396067334 (5097901),11/21/2019,0,Sysco Food Services,0.0,234.18,1030.61,274.84,34.84,0.0,127.53,103.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1807.19,0
11/26/2019,Transfer IN - 457127,11/26/2019,11/26/2019,"1393 - E Beltline Rd, Richardson, TX  ",0.0,28.1408,66.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8608,0
12/03/2019,396082717 (5110151),11/28/2019,0,Sysco Food Services,0.0,583.21,2002.62,605.78,171.77,0.0,252.75,0.0,15.56,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.29,3634.48,0
12/10/2019,396099731 (5123063),12/05/2019,0,Sysco Food Services,0.0,429.36,1507.0,453.42,142.44,0.0,22.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,2557.08,0
12/17/2019,396116239 (5135633),12/12/2019,0,Sysco Food Services,0.0,499.71,1790.46,352.11,194.33,0.0,165.75,0.0,118.66,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,14.3,3136.82,0
12/24/2019,396132432 (5149255),12/19/2019,0,Sysco Food Services,0.0,274.55,1175.72,357.94,117.37,0.0,140.93,0.0,102.54,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.46,2173.01,0
12/31/2019,396144335 (5159201),12/26/2019,0,Sysco Food Services,0.0,593.19,1787.15,421.08,127.91,0.0,423.68,0.0,95.87,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,7.92,3458.3,0
