week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies,Office Supplies 5230,Operating Supplies 5220
06/26/2018,0.028250060232348696,0.11325090412942679,0.027074402089257255,0.010076607817192567,0.02232098752707234,0.017183934776418806,0.0028136043939337306,0.2209705009656501,0.22113155002634757,-7.89,1497.7333,1263.932,1441.9087,481.3092,377.65,0.0,5062.5332,0.0,0.0,0.0,0.0,0.0,5062.5332,39.8,79.64,330.89,17.17,467.5,0,0
06/26/2018,0.028250060232348696,0.11325090412942679,0.027074402089257255,0.010076607817192567,0.02232098752707234,0.017183934776418806,0.0028136043939337306,0.2209705009656501,0.22113155002634757,-7.89,1497.7333,1263.932,1441.9087,481.3092,377.65,0.0,5062.5332,0.0,0.0,0.0,0.0,0.0,5062.5332,39.8,79.64,330.89,17.17,467.5,0,0
07/03/2018,0.030139999949481296,0.12086780392681855,0.028555562993030942,0.010924384871669872,0.02657408693763214,0.010628149525250506,-0.00035524750374469987,0.22733474070013868,0.22749261164001383,-41.63,1484.3333,1403.4539,1170.4464,464.6677,361.34,0.0,4884.2413,0.0,0.0,0.0,0.0,0.0,4884.2413,115.98,107.95,521.34,21.76,767.03,0,0
07/03/2018,0.030139999949481296,0.12086780392681855,0.028555562993030942,0.010924384871669872,0.02657408693763214,0.010628149525250506,-0.00035524750374469987,0.22733474070013868,0.22749261164001383,-41.63,1484.3333,1403.4539,1170.4464,464.6677,361.34,0.0,4884.2413,0.0,0.0,0.0,0.0,0.0,4884.2413,115.98,107.95,521.34,21.76,767.03,0,0
07/10/2018,0.03398674371756351,0.11274663827050896,0.030464161943458065,0.012883867397341348,0.021736988413912407,0.011480035907766539,0.0006201487526176836,0.2239185844031685,0.22413198238186283,13.5,1473.5,1260.6798,1265.1039,457.918,364.13,0.0,4821.3317,0.0,0.0,0.0,0.0,0.0,4821.3317,66.84,100.04,485.56,0.0,652.44,0,0
07/17/2018,0.03114042142825201,0.1220492083233149,0.02858782714870016,0.019146287956313412,0.019067551268931567,0.007939443587162856,0.0009730387280288742,0.22890377844070384,0.2290982060167558,-39.86,1504.8334,1307.7876,1265.6694,466.9643,336.27,0.0,4881.5247,0.0,0.0,0.0,0.0,0.0,4881.5247,120.78,127.49,92.93,16.17,357.37,0,0
07/24/2018,0.032171795029485535,0.11199378173195854,0.02537565172232359,0.005833446082149472,0.02219819875224644,0.01736931728883514,0.0011624334611153259,0.21610462406811404,0.21630962191563663,-7.74,1471.6667,1182.1486,1109.5678,430.9074,325.09,0.0,4519.3805,0.0,0.0,0.0,0.0,0.0,4519.3805,100.52,193.87,53.15,0.0,347.53999999999996,0,0
07/31/2018,0.027583008567863658,0.12303064448466157,0.03813594415722769,0.007368835620371291,0.019585313507608938,0.008178631479180892,0.000541775681804825,0.22442415349871886,0.22462681525826877,32.87,1548.9197,1330.496,1116.6059,457.5445,326.55,0.0,4780.1161,0.0,0.0,0.0,0.0,0.0,4780.1161,94.63,126.86,359.76,0.0,581.25,0,0
08/07/2018,0.03284781844688865,0.12017826718496734,0.03188992213463612,0.009771949493748192,0.020231357813195287,0.009092428204713614,0.0011241836965134955,0.22513592697466275,0.22533636981972177,-0.19,1500.9445,1274.9684,894.8574,420.3032,318.61,0.0,4409.6835,0.0,0.0,0.0,0.0,0.0,4409.6835,70.03,146.93,133.19,0.0,350.15,0,0
08/14/2018,0.03184391395927746,0.11750841258696626,0.02638798748962787,0.012418982574838824,0.02297979191932086,0.014887789621497418,0.0018326290929980217,0.22785950724452672,0.2280509925320738,-6.6,1615.9379,1285.279,860.9389,430.7668,325.54,0.0,4518.4626,0.0,0.0,0.0,0.0,0.0,4518.4626,98.63,144.65,288.76,0.0,532.04,0,0
