week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Office Supplies 5230,Smallwares-KEC 5220,Uniforms-KC 5221,Aprons-Floor Mats 5285,Trash Service 5286,Pest Control 5241,Fuel Surcharge,Misc Monthly Audit Item,Discounts,Delivery Charges,Tax,Invoice Totals
11/02/2021,Transfer OUT - 657379,10/30/2021,10/30/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,-1118.8822,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-1118.8822
11/02/2021,Transfer OUT - 657380,10/30/2021,10/30/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,-858.9437,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-858.9437
11/02/2021,Transfer IN - 657381,11/01/2021,11/01/2021,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,109.2384,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,109.2384
11/09/2021,496560462 (6219210),11/06/2021,0,Sysco Food Services,0,0.0,0.0,443.04,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,443.04
11/09/2021,496552492 (6219218),11/04/2021,0,Sysco Food Services,0,555.41,2090.61,79.24,227.86,0,336.64,0.0,79.33,0,0,0,0,0,0,4.0,0,0,0,6.55,3379.64
11/09/2021,496554196 (6224572),11/05/2021,0,Sysco Food Services,0,0.0,0.0,578.86,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,578.86
11/09/2021,496566759 (6224575),11/09/2021,0,Sysco Food Services,0,0.0,0.0,332.28,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,332.28
11/09/2021,Transfer OUT - 659652,11/05/2021,11/05/2021,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,-205.2488,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-205.2488
11/09/2021,Transfer OUT - 659653,11/05/2021,11/05/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,-231.3112,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-231.3112
11/09/2021,Transfer OUT - 659654,11/05/2021,11/05/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,0.0,-237.2864,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-237.2864
11/16/2021,496572847 (6229266),11/12/2021,0,Sysco Food Services,0,0.0,52.2,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,52.2
11/16/2021,496570919 (6229288),11/11/2021,0,Sysco Food Services,0,540.88,2327.39,679.21,305.24,0,271.7,38.32,98.02,0,0,0,0,0,0,4.0,0,0,0,8.09,4272.85
11/23/2021,496589191 (6242416),11/18/2021,0,Sysco Food Services,0,564.31,2326.67,544.03,453.45,0,387.09,138.62,58.87,0,0,0,0,0,0,4.0,0,0,0,4.86,4481.9
11/23/2021,Transfer IN - 664063,11/22/2021,11/22/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,321.6593,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,321.6593
11/23/2021,Transfer IN - 664064,11/19/2021,11/19/2021,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,55.3824,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,55.3824
11/30/2021,496603373 (6249696),11/24/2021,0,Sysco Food Services,0,439.17,2060.63,375.44,210.76,0,203.29,0.0,76.42,0,0,0,0,0,0,4.0,0,0,0,10.75,3380.46
11/30/2021,496610921 (6255367),11/29/2021,0,Sysco Food Services,0,0.0,0.0,332.28,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,332.28
11/30/2021,Transfer OUT - 665715,11/29/2021,11/29/2021,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,-55.3824,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-55.3824
11/30/2021,Transfer OUT - 665716,11/29/2021,11/29/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,-83.0736,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-83.0736
11/30/2021,Transfer OUT - 665717,11/29/2021,11/29/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,0.0,-83.0736,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-83.0736
12/07/2021,496623393 (6260327),12/02/2021,0,Sysco Food Services,0,633.69,2236.5,704.19,215.4,0,366.1,0.0,113.69,0,0,0,0,0,0,4.5,0,0,0,9.39,4283.46
12/07/2021,Transfer IN - 667575,12/03/2021,12/03/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,928.9205,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,928.9205
12/14/2021,496641883 (6270515),12/09/2021,0,Sysco Food Services,0,607.9,2115.53,616.77,336.4,0,389.09,105.01,178.73,0,0,0,0,0,0,4.5,0,0,0,14.76,4368.69
12/14/2021,Transfer IN - 669542,12/13/2021,12/13/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,209.0197,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,209.0197
12/21/2021,496659352 (6280804),12/16/2021,0,Sysco Food Services,0,628.06,2393.15,819.3,205.04,0,362.35,32.01,128.35,0,0,0,0,0,0,4.5,0,0,0,9.88,4582.64
12/28/2021,496675684 (6290084),12/23/2021,0,Sysco Food Services,0,497.29,2193.32,842.64,184.39,0,382.34,74.6,113.69,0,0,0,0,0,0,4.5,0,0,0,9.4,4302.17
12/28/2021,Transfer IN - 672756,12/27/2021,12/27/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,108.8348,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,108.8348
