week_ending_date,Manager_usd,InShop_usd,Driver_usd,Tip Credit_usd,TAX_usd,DMR_usd,Manager_prcnt_as_dec,InShop_prcnt_as_dec,Driver_prcnt_as_dec,Tip Credit_prcnt_as_dec,TAX_prcnt_as_dec,DMR_prcnt_as_dec,PenaltyPay_usd,PenaltyPay_prcnt_as_dec
08/04/2015,1510.6667,1068.2150000000001,1244.5362,0,437.78134954999996,418.75,0.09216187097541706,0.06516903629636182,0.07592593699764207,0,0.026707908668848694,0.025546855220252022,0,0
08/11/2015,1548.5,1087.2648,1258.67,0,445.91278459999995,393.27,0.09248331895964776,0.06493629789602688,0.07517338009360017,0,0.026631898150691963,0.02348783651744312,0,0
08/18/2015,1511.1666,1113.8919999999996,1212.5738000000003,0,439.4089098,352.15,0.10352413195919229,0.07630839802592816,0.08306870339872471,0,0.030102191222450274,0.024124423521158792,0,0
08/25/2015,1515.9999,1076.3823,1165.0262,0,430.22326179999993,339.7,0.10440885712239253,0.07413182927635566,0.08023684833992661,0,0.02963002772757826,0.02339557460688272,0,0
09/01/2015,1516.1588,976.461,1137.4124,0,415.6386869,376.58,0.1054308443319472,0.06790126976621282,0.07909352878183107,0,0.028902736109758978,0.026186668150146725,0,0
09/08/2015,1517.124,999.9291,1103.1884,0,414.51765174999997,336.13,0.1172321865299868,0.07726716785705177,0.08524628724251788,0,0.032030875966584216,0.025973654663906488,0,0
09/15/2015,1510.1298000000002,1031.1802,1120.5969,0,419.28834005,369.06,0.09617950520853237,0.06567541506487419,0.0713703255046124,0,0.02670429064158317,0.023505269674342532,0,0
09/22/2015,1507.6097,868.2835,1150.6954999999998,0,403.79440614999993,350.17,0.10235231618488201,0.058948166312617914,0.07812124693050256,0,0.02741378801950628,0.023773202413370075,0,0
09/29/2015,1519.9873,985.1741999999999,1086.0666,0,411.19561745,324.24,0.10654599530913317,0.06905739652685192,0.07612961428625503,0,0.02882342920099649,0.022728133004159535,0,0
10/06/2015,1532.4783,913.1968000000002,1098.0783000000001,0,405.7597643,346.78,0.1087226451370315,0.06478732627187787,0.07790386157087825,0,0.02878688387618568,0.024602527083495918,0,0
10/13/2015,1527.4184,930.1311000000001,1092.0462999999997,0,406.4287191,323.09,0.10407635899301851,0.06337795739148566,0.07441065444530297,0,0.02769353916001292,0.02201494418756141,0,0
10/20/2015,1519.3147,872.0508999999998,1039.0318,0,392.78050229999997,320.67,0.10748729910441088,0.06169518133575005,0.07350861665828312,0,0.027788130617771842,0.022686512678256478,0,0
10/27/2015,1509.1667,919.4145999999998,1047.2087,0,397.97795499999995,325.15,0.10394368651457254,0.06332457703931653,0.0721263812858666,0,0.027410686834152022,0.022394669634715147,0,0
11/03/2015,1508.8332,891.8564000000001,1128.254,0,404.0640421999999,344.72,0.10976413742330575,0.06488049736144111,0.08207787786243992,0,0.02939472769810288,0.025077585416706075,0,0
11/10/2015,1438.7945,1000.3662999999999,1124.039,0,407.98637709999997,345.61,0.10459259038483067,0.07272122784086861,0.081711565274662,0,0.029658406410791364,0.02512398063997418,0,0
11/17/2015,1518.192,1080.6127,1216.9417,0,436.9029627999999,340.75,0.0934224282698176,0.06649584667367758,0.07488489510997284,0,0.026884962971122084,0.020968159780146614,0,0
11/24/2015,1523.6459,1075.3819,1138.3098,0,427.9251551999999,345.78,0.09068230486572447,0.06400313176629953,0.06774838977694349,0,0.025468673123826772,0.020579668397014167,0,0
12/01/2015,1281.3333,814.7895000000002,913.5778,0,344.6107187,290.0,0.11584998752291985,0.0736680716943875,0.082599879930707,0,0.03115750403244764,0.026219951031981107,0,0
12/08/2015,1677.3723,1050.5256,1202.4505,0,450.0248918,378.4,0.10078351554858045,0.06311995443216858,0.07224823532804753,0,0.027039370257857204,0.022735848376405667,0,0
12/15/2015,1586.6308,1172.7931999999998,1121.8762000000002,0,444.4088729,389.34,0.10046984221867755,0.07426450297015406,0.07104029797158203,0,0.02814119664186736,0.02465408358984328,0,0
12/22/2015,1495.1665,1097.1915,1196.8008000000002,0,433.85868259999995,375.17,0.0861095433304499,0.06318938995158821,0.06892608304527764,0,0.024986764369477648,0.021606769126572115,0,0
12/29/2015,1289.8334,846.4261,924.0107,0,350.4009379,290.03,0.1122326212747444,0.0736503023711116,0.08040119208179247,0,0.030489531250815747,0.025236458559930387,0,0
