week_ending_date,Category,Beginning Inventory USD,Purchases USD,Ending Inventory USD,COGS Prcnt as Decimal
03/17/2020,Sub Total COGS,3771.0803,3289.0726000000004,4720.171300000001,0.22250510386981248
03/17/2020,Discounted COGS,0.0,0.0,0.0,0.22260019226874264
03/24/2020,Bread 4311,376.40669999999994,210.87,229.76000000000002,0.04704779964758566
03/24/2020,Food 4312,2478.702500000001,716.0971,2079.2304,0.14680454427616238
03/24/2020,Sides 4313,655.3757,197.55,587.762,0.03489450599485987
03/24/2020,Paper 4314,293.9818,126.57,256.4086,0.02160060323647423
03/24/2020,Produce 4315,206.37890000000002,0.0,65.23700000000001,0.01857372210327398
03/24/2020,Beverage 4316,542.3377,328.24000000000007,777.538,0.012243660687379018
03/24/2020,Catering 4320,166.988,0.0,165.409,0.00020779022530566582
03/24/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
03/24/2020,Sub Total COGS,4720.171300000001,1579.3271,4161.345,0.28137262617104075
03/24/2020,Discounted COGS,0.0,0.0,0.0,0.28150422226053134
03/31/2020,Bread 4311,229.76000000000002,107.03999999999999,103.9147,0.033266239563469115
03/31/2020,Food 4312,2079.2304,503.38349999999997,1605.9966,0.13950380321827258
03/31/2020,Sides 4313,587.762,25.51,344.34340000000003,0.03841480433959703
03/31/2020,Paper 4314,256.4086,33.06,217.1966,0.010323612807382171
03/31/2020,Produce 4315,65.23700000000001,213.6298,135.016,0.02054820623799219
03/31/2020,Beverage 4316,777.538,82.6,736.2737999999999,0.0176932427703142
03/31/2020,Catering 4320,165.409,0.0,159.1941,0.0008877604222465057
03/31/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
03/31/2020,Sub Total COGS,4161.345,965.2233,3301.9352,0.26063766935927385
03/31/2020,Discounted COGS,0.0,0.0,0.0,0.26078051323805646
04/07/2020,Bread 4311,103.9147,295.59,136.3056,0.03600835363826529
04/07/2020,Food 4312,1605.9966,886.7076999999999,1738.7894000000001,0.10314334027873731
04/07/2020,Sides 4313,344.34340000000003,241.44,313.32169999999996,0.03727557292742623
04/07/2020,Paper 4314,217.1966,161.22,506.42339999999996,-0.017512651534532967
04/07/2020,Produce 4315,135.016,136.01,148.53230000000002,0.01675840254795543
04/07/2020,Beverage 4316,736.2737999999999,29.55,630.5876,0.018501708076870974
04/07/2020,Catering 4320,159.1941,0.0,155.8605,0.00045607088963647987
04/07/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
04/07/2020,Sub Total COGS,3301.9352,1750.5176999999999,3629.8205,0.19463079682435877
04/07/2020,Discounted COGS,0.0,0.0,0.0,0.20010320970696602
04/14/2020,Bread 4311,136.3056,285.57,152.11790000000002,0.03282890029061418
04/14/2020,Food 4312,1738.7894000000001,937.3306,1474.6434000000002,0.1462169773204106
04/14/2020,Sides 4313,313.32169999999996,241.44,246.97609999999997,0.037456809474898635
04/14/2020,Paper 4314,496.29839999999996,98.87,319.97170000000006,0.03349081425518553
04/14/2020,Produce 4315,148.53230000000002,90.5,120.0398,0.014481117379896512
04/14/2020,Beverage 4316,630.5876,50.59,646.4642000000001,0.004224542051434313
04/14/2020,Catering 4320,155.8605,0.0,152.5269,0.0004056915595320953
04/14/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
04/14/2020,Sub Total COGS,3619.6955,1704.3005999999998,3112.74,0.26910485233197184
04/14/2020,Discounted COGS,0.0,0.0,0.0,0.2739727616136145
04/21/2020,Bread 4311,152.11790000000002,313.81,135.9348,0.027324661022212104
04/21/2020,Food 4312,1474.6434000000002,1293.8257,1052.4643,0.1420916057714203
04/21/2020,Sides 4313,246.97609999999997,377.27,227.674,0.032837650858053694
04/21/2020,Paper 4314,319.97170000000006,177.2,330.08129999999994,0.013835709110480892
04/21/2020,Produce 4315,120.0398,217.0,181.49800000000002,0.012879441902829818
04/21/2020,Beverage 4316,646.4642000000001,22.91,480.9819,0.015599585981327765
04/21/2020,Catering 4320,152.5269,0.0,149.85999999999999,0.00022082927940050316
04/21/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
04/21/2020,Sub Total COGS,3112.74,2402.0157,2558.4943,0.2447894839257251
04/21/2020,Discounted COGS,0.0,0.0,0.0,0.24561752127020928
